entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
1.1,0.2,239305.69155872447,85,-47303.90097487724,0.9,True
1.1,0.3,244813.49619962933,95,-47303.90097487724,0.8,True
1.1,0.4,256178.8423275986,108,-42873.22396844314,0.7,True
1.1,0.5,271158.15162994753,126,-44334.07569977778,0.6,True
1.1,0.6,281255.78844435903,148,-43410.18402055596,0.5,True
1.1,0.7,289170.65733334667,176,-40112.517431966815,0.4,True
1.1,0.8,312267.09960145457,218,-36309.29470835248,0.3,True
1.1,0.9,333882.36403918226,287,-33131.629123548744,0.2,True
1.1,1.0,343847.55756477517,412,-27387.172066511586,0.1,True
1.1,1.1,311951.01644487167,641,-27387.172066511586,0.0,False
1.1,1.2,23618.88952469569,265,-37945.067953620746,-0.1,False
1.1,1.3,-38430.57556815356,189,-77208.34147103265,-0.2,False
1.1,1.4,-87235.2678918543,148,-126188.31003287499,-0.3,False
1.1,1.5,-123112.11642942716,108,-160640.74412045762,-0.4,False
1.1,1.6,-101868.70017751248,93,-146383.84033440758,-0.5,False
1.1,1.7,-78238.81105482104,71,-121071.32387427529,-0.6,False
1.1,1.8,-73831.9606117024,59,-124190.67861756167,-0.7,False
1.1,1.9,-74014.61155076795,46,-125302.8030619125,-0.8,False
1.1,2.0,-76622.01340417146,36,-130246.00454800916,-0.9,False
1.1,2.1,-83978.12558887759,30,-137883.30545931557,-1.0,False
1.1,2.2,-60488.00632184576,18,-103796.21255071019,-1.1,False
1.1,2.3,-59736.70316181473,16,-103044.90939067915,-1.2,False
1.1,2.4,-56468.65263679118,11,-99776.85886565561,-1.3,False
1.1,2.5,-44423.86022030059,6,-87732.06644916502,-1.4,False
1.2,0.0,183708.5443602983,60,-47303.90097487724,1.2,True
