entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
1.2,1.2,220413.16112944455,533,-26279.383610922523,0.0,False
1.2,1.3,24267.590621203963,210,-37076.40986234975,-0.1,False
1.2,1.4,-7584.597228027931,155,-81006.50653359614,-0.2,False
1.2,1.5,-79000.24481353699,114,-100755.68413758182,-0.3,False
1.2,1.6,-20645.715381066555,92,-64265.41479183008,-0.4,False
1.2,1.7,-72950.19785373013,72,-87064.04221512449,-0.5,False
1.2,1.8,-75924.70692005492,60,-89591.10756307993,-0.6,False
1.2,1.9,-71981.74621468532,45,-85572.56715753382,-0.7,False
1.2,2.0,-70907.7248981845,35,-89356.16419128512,-0.8,False
1.2,2.1,-77438.18424951007,27,-94918.26678294402,-0.9,False
1.2,2.2,-46476.72848822108,12,-63676.51756846827,-1.0,False
1.2,2.3,-49726.36177882821,12,-62982.7718381439,-1.1,False
1.2,2.4,-52744.0216287496,11,-64723.519676492695,-1.2,False
1.2,2.5,-50358.685433580875,10,-63332.156688764095,-1.3,False
1.3,0.0,86373.07901695586,39,-47303.90097487724,1.3,True
1.3,0.1,91017.19474140368,42,-47303.90097487724,1.2,True
1.3,0.2,113926.0261413591,48,-47303.90097487724,1.1,True
1.3,0.3,123063.20489943595,53,-47303.90097487724,1.0,True
1.3,0.4,140906.85989435337,62,-41510.50056606092,0.9,True
1.3,0.5,147682.29821782967,71,-42971.352297395555,0.8,True
1.3,0.6,157274.41948114694,83,-42047.4606181737,0.7,True
1.3,0.7,157224.0884601242,95,-43502.91352698475,0.6,True
1.3,0.8,199706.55703814063,118,-38581.27111445539,0.5,True
1.3,0.9,221670.58427891054,143,-32037.12829330261,0.4,True
1.3,1.0,240676.4981293171,180,-27743.83571219392,0.3,True
1.3,1.1,253653.43738520012,241,-27387.172066511586,0.2,True
1.3,1.2,256977.30304642668,328,-25928.034126236016,0.1,True
1.3,1.3,240846.37619023383,520,-24102.326861112757,0.0,False
1.3,1.4,48755.763137220434,255,-45418.7482743528,-0.1,False
1.3,1.5,-17753.713343392556,147,-47886.07309391843,-0.2,False
1.3,1.6,-14281.43791674335,116,-58867.235873190344,-0.3,False
1.3,1.7,-72234.31243279084,88,-87348.96384541549,-0.4,False
1.3,1.8,-75267.6405203188,70,-91161.51526029811,-0.5,False
1.3,1.9,-76299.23590547607,50,-92117.5309452789,-0.6,False
1.3,2.0,-80274.27846558554,39,-100292.9492398966,-0.7,False
1.3,2.1,-89586.56176513963,30,-108636.87577978401,-0.8,False
1.3,2.2,-46330.02501158312,14,-63200.75576197605,-0.9,False
1.3,2.3,-49816.82963039847,14,-62507.01003165168,-1.0,False
1.3,2.4,-51953.02024349192,12,-63734.518291235014,-1.1,False
1.3,2.5,-49831.31151783305,11,-62856.39488227187,-1.2,False
1.4,0.0,70064.36817551436,35,-47303.90097487724,1.4,True
1.4,0.1,73210.98067206911,37,-47303.90097487724,1.3,True
1.4,0.2,96212.45113592682,42,-47303.90097487724,1.2,True
1.4,0.3,109851.42887354405,47,-47303.90097487724,1.1,True
1.4,0.4,134887.34248013614,55,-39370.10671239425,1.0,True
1.4,0.5,132810.93043301816,61,-40830.95844372889,0.9,True
1.4,0.6,142702.17326110468,71,-39907.066764507006,0.8,True
1.4,0.7,150315.7479908401,83,-41362.51967331808,0.7,True
1.4,0.8,187981.4523418794,101,-36440.87726078872,0.6,True
1.4,0.9,209986.01152347325,119,-34874.760745807085,0.5,True
1.4,1.0,235881.4583227238,148,-27864.753360244707,0.4,True
1.4,1.1,258516.887658526,190,-25853.80050602238,0.3,True
1.4,1.2,273558.7815666566,249,-25853.80050602238,0.2,True
1.4,1.3,280379.8745290382,354,-24028.09324089912,0.1,True
1.4,1.4,220627.23276201548,521,-24456.055080193008,0.0,False
1.4,1.5,-20473.328301452435,205,-75900.93972457212,-0.1,False
1.4,1.6,-19810.422479538007,123,-39525.859587192725,-0.2,False
1.4,1.7,-48773.723667245606,101,-68144.01403077271,-0.3,False
1.4,1.8,-57511.622562468845,79,-74113.11646771294,-0.4,False
1.4,1.9,-61193.83755310387,54,-79453.04815889821,-0.5,False
1.4,2.0,-64703.8111122979,40,-86812.44680531241,-0.6,False
1.4,2.1,-79068.41706906659,31,-100019.73114923805,-0.7,False
1.4,2.2,-40481.06494596901,14,-61871.73851238294,-0.8,False
1.4,2.3,-43967.86956478434,14,-61177.992782058565,-0.9,False
1.4,2.4,-45125.77381972841,12,-61527.37763267876,-1.0,False
1.4,2.5,-43499.42656848025,11,-61527.377632678756,-1.1,False
1.5,0.0,54395.401819374325,30,-47303.90097487724,1.5,True
1.5,0.1,59949.086866759506,32,-47303.90097487724,1.4,True
1.5,0.2,78115.85207831406,36,-47303.90097487724,1.3,True
1.5,0.3,90523.77193307833,40,-47303.90097487724,1.2,True
1.5,0.4,111913.45485518407,46,-39370.10671239426,1.1,True
1.5,0.5,106618.89568266112,49,-40830.95844372889,1.0,True
1.5,0.6,116540.01606021487,57,-39907.06676450702,0.9,True
1.5,0.7,126449.79132046948,68,-41362.51967331808,0.8,True
1.5,0.8,165251.75752685408,82,-35374.72647244838,0.7,True
1.5,0.9,179088.15496419164,94,-37675.99455881599,0.6,True
1.5,1.0,206659.4391577505,116,-35286.865644388396,0.5,True
1.5,1.1,237145.68684948745,147,-28522.598462791357,0.4,True
1.5,1.2,263986.240269784,183,-28254.833665257232,0.3,True
