entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
0.6,0.0,868566.9863097584,623,-47396.44222656451,0.6,True
0.6,0.1,949340.2579825928,741,-47396.44222656451,0.5,True
0.6,0.2,1003967.372145299,872,-47396.44222656451,0.4,True
0.6,0.3,1002641.5726319755,1039,-47396.44222656451,0.3,True
0.6,0.4,1027283.3976028828,1292,-47463.34525556094,0.2,True
0.6,0.5,982566.9209480821,1653,-48066.657033498865,0.1,True
0.6,0.6,847979.364459817,2205,-47667.35822323372,0.0,False
0.6,0.7,165190.80635447815,1214,-46268.704802795655,-0.1,False
0.6,0.8,-72343.32674929542,719,-157277.9305201046,-0.2,False
0.6,0.9,-220077.16674470855,569,-284199.7635637088,-0.3,False
0.6,1.0,-257473.9388154547,399,-322011.52719093923,-0.4,False
0.6,1.1,-255197.08285631152,309,-316927.1559345235,-0.5,False
0.6,1.2,-261773.34867934167,228,-289490.6065365278,-0.6,False
0.6,1.3,-288072.7951019193,187,-314136.82518184895,-0.7,False
0.6,1.4,-312390.3161016966,175,-335957.6216292997,-0.8,False
0.6,1.5,-317967.9096046581,147,-342269.6884037262,-0.9,False
0.6,1.6,-303369.8876153567,126,-323919.2705267307,-1.0,False
0.6,1.7,-310412.0704357382,105,-327160.6702360976,-1.1,False
0.6,1.8,-310438.66966560576,96,-333447.28025754634,-1.2,False
0.6,1.9,-309864.87222756696,87,-332445.5698123361,-1.3,False
0.6,2.0,-308414.8263322954,75,-331055.27644444973,-1.4,False
0.6,2.1,-293611.5146719753,58,-326125.5246625892,-1.5,False
0.6,2.2,-245337.7688551147,44,-283749.53203682665,-1.6,False
0.6,2.3,-209513.91031731936,36,-247595.706767068,-1.7,False
0.6,2.4,-209714.21117990089,32,-245915.73285123872,-1.8,False
0.6,2.5,-237024.20984881875,34,-273225.7315201566,-1.9,False
0.7,0.0,872220.7565934967,541,-47396.44222656451,0.7,True
0.7,0.1,938244.6093115048,630,-47396.44222656451,0.6,True
0.7,0.2,984681.1201379128,729,-47396.44222656451,0.5,True
0.7,0.3,981274.4173193158,855,-47396.44222656451,0.4,True
